agence_id;date;nombre_clients;capacite_max;jour_semaine;est_ferie;meteo
1;2024-01-01;0;60;0;1;pluie
1;2024-01-02;18;60;1;0;pluie
1;2024-01-03;26;60;2;0;nuageux
1;2024-01-04;52;60;3;0;nuageux
1;2024-01-05;40;60;4;0;nuageux
1;2024-01-06;46;60;5;0;pluie
1;2024-01-07;24;60;6;0;pluie
1;2024-01-08;39;60;0;0;pluie
1;2024-01-09;13;60;1;0;pluie
1;2024-01-10;23;60;2;0;nuageux
1;2024-01-11;25;60;3;0;nuageux
1;2024-01-12;46;60;4;0;pluie
1;2024-01-13;47;60;5;0;nuageux
1;2024-01-14;29;60;6;0;pluie
1;2024-01-15;27;60;0;0;soleil
1;2024-01-16;33;60;1;0;pluie
1;2024-01-17;33;60;2;0;pluie
1;2024-01-18;23;60;3;0;nuageux
1;2024-01-19;30;60;4;0;pluie
1;2024-01-20;46;60;5;0;pluie
1;2024-01-21;56;60;6;0;nuageux
1;2024-01-22;59;60;0;0;nuageux
1;2024-01-23;29;60;1;0;nuageux
1;2024-01-24;47;60;2;0;nuageux
1;2024-01-25;25;60;3;0;soleil
1;2024-01-26;34;60;4;0;nuageux
1;2024-01-27;27;60;5;0;pluie
1;2024-01-28;52;60;6;0;soleil
1;2024-01-29;46;60;0;0;pluie
1;2024-01-30;24;60;1;0;soleil
2;2024-01-01;0;54;0;1;nuageux
2;2024-01-02;10;54;1;0;pluie
2;2024-01-03;16;54;2;0;pluie
2;2024-01-04;24;54;3;0;soleil
2;2024-01-05;33;54;4;0;pluie
2;2024-01-06;54;54;5;0;pluie
2;2024-01-07;28;54;6;0;pluie
2;2024-01-08;40;54;0;0;nuageux
2;2024-01-09;23;54;1;0;nuageux
2;2024-01-10;41;54;2;0;soleil
2;2024-01-11;47;54;3;0;soleil
2;2024-01-12;23;54;4;0;soleil
2;2024-01-13;49;54;5;0;nuageux
2;2024-01-14;48;54;6;0;pluie
2;2024-01-15;31;54;0;0;nuageux
2;2024-01-16;52;54;1;0;soleil
2;2024-01-17;29;54;2;0;pluie
2;2024-01-18;41;54;3;0;soleil
2;2024-01-19;38;54;4;0;pluie
2;2024-01-20;33;54;5;0;nuageux
2;2024-01-21;54;54;6;0;pluie
2;2024-01-22;20;54;0;0;soleil
2;2024-01-23;19;54;1;0;pluie
2;2024-01-24;24;54;2;0;soleil
2;2024-01-25;26;54;3;0;nuageux
2;2024-01-26;39;54;4;0;nuageux
2;2024-01-27;54;54;5;0;nuageux
2;2024-01-28;54;54;6;0;pluie
2;2024-01-29;38;54;0;0;pluie
2;2024-01-30;27;54;1;0;pluie
3;2024-01-01;0;62;0;1;pluie
3;2024-01-02;52;62;1;0;pluie
3;2024-01-03;48;62;2;0;soleil
3;2024-01-04;23;62;3;0;soleil
3;2024-01-05;43;62;4;0;nuageux
3;2024-01-06;62;62;5;0;soleil
3;2024-01-07;21;62;6;0;pluie
3;2024-01-08;59;62;0;0;nuageux
3;2024-01-09;39;62;1;0;soleil
